region	region_type	S_AFR	singletons_AFR	pi_AFR	tajimasd_AFR	meanrsq_AFR	S_EUR	singletons_EUR	pi_EUR	tajimasd_EUR	meanrsq_EUR	S_EAS	singletons_EAS	pi_EAS	tajimasd_EAS	meanrsq_EAS	S_SAS	singletons_SAS	pi_SAS	tajimasd_SAS	meanrsq_SAS	Fst_AFR_EUR	Fst_AFR_EAS	Fst_AFR_SAS	Fst_EUR_EAS	Fst_EUR_SAS	Fst_EAS_SAS
1	exons	0.0067178502879078695	0.0014395393474088292	0.0011692428242989932	0.05142069703038879	0.06608617554101785	0.008157389635316698	0.004318618042226488	0.0006068998882332288	-0.9994192063929019	0.007791048988876526	0.003838771593090211	0.0014395393474088292	0.0007280167559313016	0.26605039397426666	0.061229708010868446	0.007677543186180422	0.0033589251439539347	0.0006470900910003317	-0.8283500260226379	0.02770837769859347	0.3768884325180853	0.1947654484163566	0.3240322028347389	0.0476853283365816	0.0326058947283093	0.0315748451821047
1	intergenic	0.049424184261036466	0.01583493282149712	0.005559187065369048	-1.0564842320285004	0.027064371784726832	0.0427063339731286	0.01727447216890595	0.004600636688705785	-0.5352870145776919	0.024063256758123673	0.023032629558541268	0.005758157389635317	0.004751255517966695	0.6485996470367077	0.0676817829670384	0.048464491362763915	0.019193857965451054	0.00437476198409659	-0.9116942222506473	0.015231916409604966	0.1097942513847885	0.0840468369193682	0.1105456670067013	0.0294194210415063	0.0122409287510541	0.0191872454357042
2	exons	0.0088	0.0024	0.0011308824283443573	-0.6702646189198029	0.026827247473343217	0.0092	0.0036	0.0005306542523822954	-1.3576057691226269	0.0275307392124163	0.0056	0.0024	0.0004981233742103309	-1.1856896237379397	0.0657591449352155	0.0092	0.0028	0.0007904745757745111	-0.8591450639351571	0.02209944664516067	0.2139506824388342	0.0884273242444694	0.0803213226510599	0.0382276831453536	0.0255278978586976	0.0627110303718669
2	intergenic	0.0076	0.0024	0.0010214223452802134	-0.5634318510215075	0.04033713378934056	0.0084	0.0044	0.00020333024829892788	-1.9253603530333376	0.039840186711988815	0.0028	0.0004	0.00042513935340022304	-0.21627508870844936	0.07996162137891807	0.0052	0.0024	0.0004606438892063473	-0.7217854261198592	0.03630576951747693	0.3224549116079458	0.1750317757801242	0.1418763214102001	0.4014312836689781	0.0616133216748345	0.147467540622206
3	exons	0.008819206271435572	0.0039196472317491425	0.0005048784188103274	-1.749596290296093	0.03196674049921161	0.011268985791278784	0.005389514943655071	0.0007512729851461366	-1.1967613273497355	0.03897141632907189	0.002939735423811857	0.0004899559039686428	0.0004775750041284839	-0.0798201822806586	0.0644165658066311	0.007839294463498285	0.0039196472317491425	0.0006899766459716027	-0.7661856853066906	0.018640868398027092	0.0472663753587393	0.099437249027753	0.0610924370698444	0.0904976281872091	0.0597540098856413	0.1102506551692166
3	intergenic	0.008819206271435572	0.0019598236158745713	0.001195383878302822	-0.5407010611653952	0.04255899968891006	0.009799118079372856	0.0034296913277804997	0.0010667297918266103	-0.4306855953276534	0.029792720060862914	0.005879470847623714	0.0014698677119059284	0.000759468065562691	-0.5722060180591331	0.061649001348093084	0.016658500734933857	0.007839294463498285	0.0010523509873392465	-1.3423602166303714	0.01318920621713325	0.0026884431408208	0.1249029554345137	0.0093317938679538	0.1289468859036904	0.0502035198628456	0.1375981615415546
4	exons	0.010652988755178536	0.002170053264943776	0.0017166476464709082	-0.16529528308579644	0.06324784570101312	0.010258433616097849	0.0039455513908068654	0.001578425863600991	0.40470789997212686	0.06205116116844502	0.005523771947129611	0.0003945551390806865	0.001024399151977698	0.26966529337082046	0.19245293722007104	0.010061156046557506	0.003748273821266522	0.00150191147014002	0.30285666506334363	0.06361541622429308	0.0223467265700773	0.1368803952665214	0.0358725545884597	0.1977942880218304	0.0250762702036439	0.2219685319739519
4	intergenic	0.014598540145985401	0.003156441112645492	0.001467772226229376	-1.2535904730624263	0.03805907105905672	0.014795817715525744	0.0061156046557506415	0.0011746091721479496	-1.1106827102797847	0.014169474109577123	0.006312882225290984	0.0005918327086210298	0.0011018879632018318	0.09081931534942551	0.05754011037771609	0.015190372854606431	0.005326494377589268	0.0013678919858197873	-0.9013960734067427	0.010789629268973656	0.1013345711576079	0.1286218896620467	0.0263859197252818	0.2473890401122724	0.0131157658073825	0.1505304360051379
5	exons	0.007361487795428129	0.0027121270825261525	0.0007281288726917366	-1.1163061853196805	0.03427979778376662	0.004649360712901976	0.002324680356450988	0.0003717366603370194	-0.8360805105625401	0.05053194854562574	0.003487020534676482	0.001162340178225494	0.0004507973613308586	-0.5331929387108126	0.08180704598389807	0.007361487795428129	0.004261913986826811	0.0005257231816414762	-1.0799507006758797	0.020564486161979128	0.0767211306422437	-0.0044209629529586	0.0085025118891204	0.0030496284281362	0.0066223536980946	0.0130915153966162
5	intergenic	0.02169701666020922	0.0065865943432778	0.0038418274119621535	0.11443570074386614	0.047401927830573364	0.022859356838434715	0.005424254165052305	0.00333792650121771	0.2513234550795596	0.040170376798695326	0.013560635412630763	0.0027121270825261525	0.0030940666226955673	1.0009227885303904	0.09794956502321302	0.02983339790778768	0.010461061604029445	0.003464549171162663	-0.3666111544309219	0.0202919798674206	0.0690690274250328	0.0250564096207141	0.0548740214499023	0.0312297917555332	0.005957562790986	0.0162028962891536
