region	S_AFR	singletons_AFR	pi_AFR	tajimasd_AFR	meanrsq_AFR	S_EUR	singletons_EUR	pi_EUR	tajimasd_EUR	meanrsq_EUR	S_EAS	singletons_EAS	pi_EAS	tajimasd_EAS	meanrsq_EAS	S_SAS	singletons_SAS	pi_SAS	tajimasd_SAS	meanrsq_SAS	Fst_AFR_EUR	Fst_AFR_EAS	Fst_AFR_SAS	Fst_EUR_EAS	Fst_EUR_SAS	Fst_EAS_SAS
1	0.012051763311271363	0.002963548355230663	0.0012788960463527772	-1.1181792180589507	0.047960246081885496	0.0086436827027561	0.0033586881359280846	0.0004753649529424602	-1.4205591894084988	0.047491899866907515	0.004939247258717771	0.0012348118146794428	0.0005223515530436061	-0.968322457934534	0.13184050492003355	0.008297935394645855	0.002765978464881952	0.0005704201848212884	-1.1452971188449212	0.05564837767685485	0.2187477269543794	0.1018601254106648	0.1703329424364908	0.0666144552445125	0.0097625965160727	0.045384308073279
2	0.014079689904805336	0.0032491592088012312	0.002040365629354081	-0.15895091768850578	0.09489212496600681	0.011457561420509604	0.0027361340705694577	0.0019673992609209852	0.7537564763286406	0.1131427339430112	0.008208402211708373	0.0007410363107792281	0.0021938555479742447	1.5347480053062577	0.2179304139097513	0.015390754146953201	0.0041612038989910505	0.002094854348009361	0.18060755637725634	0.10090460865516261	0.0182197530650493	0.0	0.0598996918555885	0.0866110269884819	0.0740277810311764	0.0183572686385437
3	0.007175376088677752	0.0019299287410926365	0.0009900064504764464	-0.3928144238066	0.0570491871808959	0.006828978622327791	0.003068091844813935	0.0006202263882426029	-0.777803652304509	0.031241806910011584	0.003463974663499604	0.0005938242280285036	0.0006917237614722898	0.3961729433317875	0.15314528187971868	0.008461995249406176	0.0038103721298495645	0.0006923094562164709	-0.992864763666077	0.01994420263520404	0.1130843204300227	0.0325470267390869	0.0892736033273735	0.0599462216236883	0.0336928236720109	0.02216019067373
4	0.006968026460859978	0.0018081587651598678	0.0007391687853297782	-1.0066421579837466	0.043275572809469066	0.007673649393605292	0.003219404630650496	0.000450866046575788	-1.3014541311291958	0.024434139634914167	0.0021168687982359427	0.0008820286659316428	0.0003717463208858636	0.1680477319560704	0.1059753321800173	0.009525909592061742	0.004057331863285557	0.0004871437271294045	-1.5723105895488312	0.01601182575379729	0.2136805641508748	0.1839822998069768	0.1924145680385026	0.0109770347820145	0.0	0.0145160501809001
5	0.00835219312425908	0.0015087832740597047	0.0015984978631925	0.4353283522039075	0.10478145419893983	0.00980709128138808	0.003771958185149262	0.001106205245923035	-0.4472222554003848	0.06687575029541373	0.006304558680892337	0.001239357689406186	0.0009364141002553126	-0.310517121452884	0.1509598570263333	0.010777023386140748	0.003771958185149262	0.001380233310080757	-0.1336005569926735	0.0589542513767593	0.1993426744359088	0.1553330449806956	0.0847300320068688	0.0251706325981929	0.0889797638246345	0.0686277356558405
6	0.008614232209737827	0.0017322097378277153	0.0014300834539812464	-0.20332368997534536	0.11656110794779395	0.009363295880149813	0.003089887640449438	0.0003022660906963818	-1.8711241017373155	0.10625261122314421	0.0028558052434456927	0.0011235955056179776	0.0003680251970432723	-0.4759983099236198	0.14932844269464698	0.009925093632958801	0.003979400749063671	0.00026850539986065	-1.9911199668035098	0.08105244769732556	0.4239981997098763	0.1400600639896677	0.4505689085145475	0.0200531893440498	0.0039387874873561	0.0293969405848138
7	0.008518930957683742	0.0025055679287305124	0.0010483824828731172	-0.807591951174653	0.04696599368831321	0.007850779510022271	0.0027282850779510024	0.0007737370281191843	-0.5706990796136389	0.04354944923896089	0.005233853006681515	0.0016146993318485524	0.0009739193955931635	0.37946030823682947	0.10214507888071296	0.009020044543429844	0.003285077951002227	0.0009814364055953705	-0.5212748346710014	0.02938766254326695	0.2400001127359467	0.1090933041605105	0.0668697035846413	0.1657975480991294	0.0662225174196343	0.0869088843900465
8	0.010188374990837792	0.003774829582936304	0.0011497375093961154	-0.8907818948453042	0.05083696766578695	0.010664809792567616	0.004654401524591366	0.0006219494526312158	-1.431169019952569	0.03553205276223258	0.0031517994575973028	0.0011361137579711208	0.00043189203600339776	-0.5683128655904112	0.04373141091588779	0.010628160961665323	0.004617752693689072	0.000545622450489841	-1.5635030953645133	0.02178022023725955	0.1499635641908844	0.0814818011092902	0.156281456319196	0.0433178530582257	0.0047493190162394	0.0615844538784698
9	0.009605189297074783	0.0023077402856608244	0.0011380510417870234	-0.7636812577242914	0.04604290579939065	0.010478388324081581	0.004677851930393564	0.0008861303695228274	-0.7744236472127889	0.03477998346848417	0.004677851930393564	0.0008731990270067984	0.001122015205400289	0.96319001183403	0.12321486917929958	0.011102101914800723	0.004365995135033993	0.0009922401705613549	-0.6657592525149497	0.022597705367106913	0.0862841378287919	0.0843235666154921	0.0709702362884109	0.2111389344027827	0.0	0.1453411564009044
10	0.007615317667536988	0.0020126196692776327	0.0009050598182948986	-0.8183733421642383	0.054155757142288014	0.009682332463011313	0.0035900783289817234	0.0009367789993035338	-0.6042627982768121	0.03654087077427885	0.005330722367275892	0.001468668407310705	0.0010080280010181246	0.35179812916257247	0.09811369345004126	0.011151000870322019	0.004297214969538729	0.0009310017781473488	-0.9060587398326508	0.02289540573056175	0.0462891469095033	0.0594112444009391	0.0773201951872304	0.056278093010576	0.0582224790422761	0.0759379483708708
11	0.011583508516023853	0.003475052554807156	0.0011528756535423774	-1.147837449828897	0.06611079362863456	0.008580376678536188	0.003389248788021794	0.0006169200274611648	-1.1032980489516888	0.05434206479100438	0.0037324638551632415	0.0012441546183877472	0.0007258724455105034	0.34213619630791453	0.13980766221429247	0.009524218113175168	0.0039040713887339654	0.000733784895400661	-1.0459049383809815	0.041027933083894554	0.1278156419930929	0.0544729453657534	0.1103072225891332	0.0574824001842176	0.0394627510670839	0.0098981476807787
12	0.0094439307885352	0.0032360322282393343	0.0009412577765503409	-1.249367172149808	0.027972016599353132	0.007726852463346982	0.0031699907541936335	0.0005537451931239897	-1.4037655061909482	0.02241000853302776	0.0033681151763307357	0.0011227050587769118	0.0005715127561647177	-0.026099576576742594	0.06373068548384057	0.0073966450931184785	0.004028529916787742	0.0005738786280029866	-1.2423282622249532	0.01117026234454887	0.1793926510565259	0.0391793100869797	0.1264500089657985	0.0629030178074406	0.0	0.0128680465368737
13	0.0064662914621003474	0.0016165728655250869	0.0006694222338781768	-1.2149172052341666	0.03996431019056537	0.0076637528439707815	0.002514668901927913	0.0006624245319421697	-0.8572759125411209	0.06797466226313341	0.004370734043827086	0.0010777152436833913	0.0005032169036870373	-0.8348875530833548	0.20808624238083803	0.009639564124056999	0.0038318764219853908	0.00027441118397013563	-1.9918912403605415	0.045599888496150466	0.1548657930315977	0.1452680539267465	0.3263266413857076	0.0227006453281409	0.1623961668380124	0.0277922420136887
14	0.007496503496503496	0.0017342657342657342	0.0008548887404448092	-0.8201743795704647	0.0406467672625146	0.005706293706293706	0.0024615384615384616	0.0003520721373060772	-1.2397837559913556	0.03148814605301698	0.002013986013986014	0.0007272727272727272	8.254398889850395e-05	-1.674489564554991	0.12128245252764085	0.008	0.004195804195804196	0.00022913920803415973	-1.830043772642362	0.01050601964582627	0.2420694064212405	0.1821044060275852	0.3033577739318595	0.0851540102852702	0.0794134924694023	0.0408416526241209
15	0.01005586592178771	0.0012937371361364306	0.0018712702512779264	0.3242453318451936	0.19503541900371896	0.010526315789473684	0.004116436342252279	0.0005995731526537098	-1.480309748676144	0.18466503757938607	0.008232872684504558	0.001058512202293443	0.000728598524643166	-1.2913789660471773	0.32279745128202686	0.012643340194060571	0.004234048809173772	0.0013959038781758421	-0.5215786640690536	0.12140772073311068	0.1804102445892134	0.1435421505579171	0.0529786702507363	0.222784151718124	0.0234049201818187	0.1078454378124181
